"District
Number",District,"Campus
Number",Campus,Region,County,"School
Type","Grades
Served","Alternative
Education
Accountability",Charter,"Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score","Support
Label","Public
Education
Grant","Distinction
ELA/Reading","Distinction
Mathematics","Distinction
Science","Distinction
Soc Studies","Distinction
Progress","Distinction
Closing the Gaps","Distinction
Postsecondary
Readiness","US Congress
District","US Congress
Election District","TX House
District","TX House
Election District","TX Senate
District","TX Senate
Election District","Campus Enrollment
Type"
001902,CAYUGA ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,593,0.497,0.013,B,87,B,87,B,87,C,78,B,87,B,86,,,,,,,,,Not Earned,,,,,,,
001902,CAYUGA ISD,001902001,CAYUGA H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,171,0.444,0.018,A,97,A,96,A,94,B,88,A,94,A,98,,,Earned,Earned,Earned,Not Earned,Earned,Earned,Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001902,CAYUGA ISD,001902041,CAYUGA MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,No,166,0.47,0.006,B,85,B,85,B,85,C,79,B,85,B,86,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001902,CAYUGA ISD,001902103,CAYUGA EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 05,No,No,256,0.551,0.016,C,75,C,77,C,79,D,62,C,79,D,67,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,1194,0.59,0.029,B,83,B,85,B,85,C,70,B,85,C,78,,,,,,,,,Not Earned,,,,,,,
001903,ELKHART ISD,001903001,ELKHART H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,315,0.47,0.013,A,92,A,92,B,89,B,81,B,89,A,91,,,Earned,Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903041,ELKHART MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,No,270,0.57,0.019,B,83,B,84,B,87,D,65,B,87,C,72,,,Earned,Earned,Earned,Earned,Not Earned,Not Earned,Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903101,ELKHART EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 02,No,No,327,0.685,0.04,C,77,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903102,ELKHART INT,REGION 07: KILGORE,ANDERSON,Elementary,03 - 05,No,No,282,0.631,0.046,C,77,C,77,B,80,D,62,B,80,C,70,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,801,0.588,0.044,B,88,B,88,A,90,B,80,A,90,B,84,,,,,,,,,Not Earned,,,,,,,
001904,FRANKSTON ISD,001904001,FRANKSTON H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,245,0.498,0.053,A,94,A,94,A,95,B,88,A,95,A,93,,,Earned,Earned,Not Earned,Not Earned,Earned,Earned,Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,001904041,FRANKSTON MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,06 - 08,No,No,184,0.625,0.038,B,81,C,79,B,84,C,70,B,84,C,74,,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,001904102,FRANKSTON EL,REGION 07: KILGORE,ANDERSON,Elementary,EE - 05,No,No,372,0.629,0.04,B,86,B,88,B,88,C,79,B,88,B,82,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001906,NECHES ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,309,0.563,0.023,B,87,B,88,B,89,C,73,B,89,B,82,,,,,,,,,Not Earned,,,,,,,
001906,NECHES ISD,001906002,NECHES H S,REGION 07: KILGORE,ANDERSON,High School,07 - 12,No,No,140,0.471,0.043,A,96,A,96,A,96,B,84,A,96,A,97,,,Not Earned,Earned,Not Earned,Not Earned,Earned,Earned,Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001906,NECHES ISD,001906102,NECHES EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 06,No,No,169,0.639,0.006,C,70,C,74,C,76,F,54,C,76,F,56,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,3296,0.804,0.175,C,75,C,77,B,80,D,65,B,80,D,63,,,,,,,,,Not Earned,,,,,,,
001907,PALESTINE ISD,001907001,PALESTINE H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,997,0.767,0.152,B,88,B,88,B,89,D,69,B,89,B,86,,,Earned,Earned,Earned,Not Earned,Not Earned,Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907041,PALESTINE J H,REGION 07: KILGORE,ANDERSON,Middle School,07 - 08,No,No,493,0.783,0.213,C,76,C,72,B,80,C,70,B,80,D,65,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907101,NORTHSIDE PRI,REGION 07: KILGORE,ANDERSON,Elementary,KG - 01,No,No,465,0.804,0.146,D,61,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907102,WASHINGTON EARLY CHILDHOOD CENTER,REGION 07: KILGORE,ANDERSON,Elementary,PK - PK,No,No,221,0.919,0.109,D,61,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907107,SOUTHSIDE EL,REGION 07: KILGORE,ANDERSON,Elementary,02 - 03,No,No,447,0.848,0.174,D,61,D,64,D,69,Not Rated,.,D,69,F,41,Comprehensive Identified,,Not Earned,Not Earned,,,,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907110,STORY INT,REGION 07: KILGORE,ANDERSON,Elementary,04 - 06,No,No,673,0.805,0.221,D,61,D,67,C,72,F,56,C,72,F,35,Comprehensive Identified,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001908,WESTWOOD ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,1414,0.745,0.075,D,69,C,72,C,74,C,72,C,74,F,56,,,,,,,,,Not Earned,,,,,,,
001908,WESTWOOD ISD,001908002,WESTWOOD H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,438,0.692,0.098,C,79,B,81,B,82,B,82,B,81,C,72,,,Not Earned,Not Earned,Earned,Not Earned,Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001908,WESTWOOD ISD,001908041,WESTWOOD J H,REGION 07: KILGORE,ANDERSON,Middle School,07 - 08,No,No,205,0.771,0.093,B,80,C,74,B,82,B,80,B,82,C,75,,,Not Earned,Earned,Earned,Earned,Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001908,WESTWOOD ISD,001908101,WESTWOOD EL,REGION 07: KILGORE,ANDERSON,Elementary,03 - 06,No,No,408,0.74,0.071,F,52,D,62,D,62,F,57,D,62,F,30,Comprehensive Identified,true,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001908,WESTWOOD ISD,001908102,WESTWOOD PRI,REGION 07: KILGORE,ANDERSON,Elementary,EE - 02,No,No,363,0.799,0.041,F,52,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001909,SLOCUM ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,349,0.513,0.014,B,86,B,86,B,86,C,79,B,86,B,85,,,,,,,,,Not Earned,,,,,,,
001909,SLOCUM ISD,001909001,SLOCUM H S,REGION 07: KILGORE,ANDERSON,High School,09 - 12,No,No,93,0.355,0,A,94,A,93,A,90,B,82,A,90,A,96,,,Earned,Earned,Earned,Earned,Not Earned,Earned,Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001909,SLOCUM ISD,001909101,SLOCUM PK - 8,REGION 07: KILGORE,ANDERSON,Elementary,PK - 08,No,No,256,0.57,0.02,B,82,B,82,B,83,C,78,B,83,C,78,,,Earned,Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,6,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,,,REGION 18: MIDLAND,ANDREWS,District,,No,No,4185,0.495,0.158,C,78,C,79,C,76,D,69,C,76,C,77,,,,,,,,,Not Earned,,,,,,,
002901,ANDREWS ISD,002901001,ANDREWS H S,REGION 18: MIDLAND,ANDREWS,High School,09 - 12,No,No,1161,0.395,0.089,A,90,B,89,B,85,D,69,B,85,A,92,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Earned,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901002,ANDREWS EDUCATION CENTER,REGION 18: MIDLAND,ANDREWS,High School,09 - 12,Yes,No,50,0.68,0.14,A,91,D,64,A,91,Not Rated,.,A,91,Not Rated,.,,,,,,,,,,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901041,ANDREWS MIDDLE,REGION 18: MIDLAND,ANDREWS,Middle School,06 - 08,No,No,920,0.495,0.138,B,80,B,81,B,80,C,78,B,80,C,77,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901101,DEVONIAN EL,REGION 18: MIDLAND,ANDREWS,Elementary,02 - 03,No,No,635,0.526,0.191,C,71,C,72,D,65,Not Rated,.,D,65,D,68,,,Not Earned,Not Earned,,,,Not Earned,Not Earned,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901104,UNDERWOOD EL,REGION 18: MIDLAND,ANDREWS,Elementary,04 - 05,No,No,648,0.526,0.171,D,62,D,65,F,58,F,55,F,58,F,56,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901105,CLEARFORK EL,REGION 18: MIDLAND,ANDREWS,Elementary,EE - 01,No,No,771,0.581,0.25,C,71,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,19,19,88,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
003801,PINEYWOODS COMMUNITY ACADEMY,,,REGION 07: KILGORE,ANGELINA,District,,No,Yes,996,0.612,0.062,B,80,B,83,B,84,C,70,B,84,C,72,,,,,,,,,Not Earned,,,,,,,
003801,PINEYWOODS COMMUNITY ACADEMY,003801001,PINEYWOODS COMMUNITY ACADEMY H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,Yes,257,0.529,0.035,A,93,A,93,A,90,B,87,A,90,A,94,,,Earned,Earned,Not Earned,Earned,Earned,Earned,Not Earned,17,17,9,9,3,3,OPEN ENROLLMENT CHARTER SCHOOL
003801,PINEYWOODS COMMUNITY ACADEMY,003801042,DR TERRY ROBBINS MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,Yes,225,0.6,0.076,B,85,B,85,B,89,D,69,B,89,C,75,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,17,17,9,9,3,3,OPEN ENROLLMENT CHARTER SCHOOL
003801,PINEYWOODS COMMUNITY ACADEMY,003801103,SARAH STRINDEN EL,REGION 07: KILGORE,ANGELINA,Elementary,PK - 05,No,Yes,514,0.66,0.07,D,64,C,72,C,72,F,54,C,72,F,46,Comprehensive Identified,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,17,17,9,9,3,3,OPEN ENROLLMENT CHARTER SCHOOL
003902,HUDSON ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,2763,0.541,0.072,B,87,B,85,B,87,C,75,B,87,B,86,,,,,,,,,Not Earned,,,,,,,
003902,HUDSON ISD,003902001,HUDSON H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,No,797,0.478,0.053,B,89,B,88,B,88,C,70,B,88,A,92,,,Earned,Earned,Not Earned,Earned,Not Earned,Earned,Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003902,HUDSON ISD,003902004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,Yes,No,8,0,0,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003902,HUDSON ISD,003902041,HUDSON MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,No,646,0.548,0.084,B,89,B,88,A,90,B,84,A,90,B,87,,,Earned,Earned,Not Earned,Not Earned,Earned,Earned,Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003902,HUDSON ISD,003902101,W F PEAVY PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,No,691,0.592,0.068,B,80,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003902,HUDSON ISD,003902102,W H BONNER EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,No,621,0.565,0.09,B,80,C,79,B,81,C,71,B,81,C,76,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,7119,0.875,0.214,B,81,C,77,B,84,C,72,B,84,C,75,,,,,,,,,Not Earned,,,,,,,
003903,LUFKIN ISD,003903001,LUFKIN H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,No,2134,0.848,0.153,B,87,B,85,B,89,C,77,B,89,B,82,,,Earned,Earned,Earned,Earned,Earned,Not Earned,Earned,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,10 - 12,Yes,No,35,0.886,0.057,B,86,C,75,B,86,Not Rated,.,B,86,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,SELECTIVE ENROL SCHL-CRITERIA-BASED
003903,LUFKIN ISD,003903044,LUFKIN MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,No,1487,0.893,0.25,C,79,C,74,B,85,D,64,B,85,D,66,,,Not Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Earned,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903120,ANDERSON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,No,243,0.897,0.136,B,86,C,74,B,85,B,85,B,83,B,89,,,Not Earned,Not Earned,Not Earned,,Earned,Earned,Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,003903121,BRANDON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,No,394,0.706,0.069,B,82,B,80,B,86,C,78,B,86,C,71,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Earned,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903122,BROOKHOLLOW EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,No,250,0.972,0.1,D,69,F,58,D,69,D,69,D,63,C,77,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,003903123,COSTON EL,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,No,204,0.971,0.25,D,69,D,67,C,75,D,66,C,75,D,69,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,003903124,DUNBAR PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,383,0.789,0.07,B,82,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903125,GARRETT PRI,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,No,349,1,0.269,B,81,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,SELECTIVE ENROL SCHL-CRITERIA-BASED
003903,LUFKIN ISD,003903127,HERTY PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,No,262,0.931,0.191,D,69,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903128,KURTH PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,231,0.922,0.121,B,86,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,003903129,SLACK EL,REGION 07: KILGORE,ANGELINA,Elementary,02 - 05,No,No,520,0.863,0.542,D,69,D,67,C,73,D,68,C,73,D,66,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903130,TROUT PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,No,252,0.948,0.099,D,69,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903131,BURLEY PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,369,0.864,0.493,D,69,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903201,JUVENILE DETENT CTR,REGION 07: KILGORE,ANGELINA,High School,08 - 11,Yes,No,6,1,0,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,SPECIAL ASSIGNMENT SCHOOL
003904,HUNTINGTON ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,1592,0.59,0.013,C,74,C,76,C,78,C,78,C,76,D,66,,,,,,,,,Not Earned,,,,,,,
003904,HUNTINGTON ISD,003904001,HUNTINGTON H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,No,499,0.521,0.014,B,80,C,78,B,85,B,85,C,79,D,68,,,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003904,HUNTINGTON ISD,003904005,PRIDE ALTER SCH,REGION 07: KILGORE,ANGELINA,High School,11 - 12,Yes,No,13,0.615,0,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003904,HUNTINGTON ISD,003904041,HUNTINGTON MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,No,371,0.539,0.019,B,83,B,81,B,82,B,81,B,82,B,85,,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Earned,Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003904,HUNTINGTON ISD,003904101,HUNTINGTON EL,REGION 07: KILGORE,ANGELINA,Elementary,EE - 03,No,No,481,0.665,0.008,F,50,F,58,F,57,Not Rated,.,F,57,F,30,Comprehensive Identified,true,Not Earned,Not Earned,,,,Not Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003904,HUNTINGTON ISD,003904102,HUNTINGTON INT,REGION 07: KILGORE,ANGELINA,Elementary,04 - 05,No,No,228,0.667,0.009,D,66,C,72,C,72,F,56,C,72,F,51,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,1668,0.68,0.151,B,80,C,79,B,81,D,66,B,81,C,77,,,,,,,,,Not Earned,,,,,,,
003905,DIBOLL ISD,003905001,DIBOLL H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,No,520,0.563,0.19,B,85,B,86,B,83,D,62,B,83,B,81,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,003905004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,11 - 12,Yes,No,5,0,0,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003905,DIBOLL ISD,003905041,DIBOLL J H,REGION 07: KILGORE,ANGELINA,Middle School,06 - 08,No,No,349,0.711,0.152,B,83,C,75,B,82,C,72,B,82,B,84,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,003905101,H G TEMPLE EL,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,314,0.739,0.131,C,73,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,003905102,DIBOLL PRI,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,No,133,0.85,0.075,C,73,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,003905103,H G TEMPLE INT,REGION 07: KILGORE,ANGELINA,Elementary,03 - 05,No,No,347,0.718,0.141,C,73,C,72,C,76,D,66,C,76,D,65,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003906,ZAVALLA ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,320,0.706,0,B,83,B,80,B,83,F,58,B,83,B,82,,,,,,,,,Not Earned,,,,,,,
003906,ZAVALLA ISD,003906001,ZAVALLA H S,REGION 07: KILGORE,ANGELINA,Elem/Secondary,06 - 12,No,No,159,0.616,0,B,85,B,83,B,85,F,58,B,85,B,86,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003906,ZAVALLA ISD,003906101,ZAVALLA EL,REGION 07: KILGORE,ANGELINA,Elementary,EE - 05,No,No,161,0.795,0,C,76,C,72,C,79,F,58,C,79,D,69,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003907,CENTRAL ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,1461,0.637,0.055,C,79,B,80,B,81,D,62,B,81,C,75,,,,,,,,,Not Earned,,,,,,,
003907,CENTRAL ISD,003907001,CENTRAL H S,REGION 07: KILGORE,ANGELINA,High School,09 - 12,No,No,384,0.583,0.026,A,90,A,90,B,89,F,57,B,89,A,90,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003907,CENTRAL ISD,003907004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,09 - 12,Yes,No,5,0.8,0,A,90,A,90,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003907,CENTRAL ISD,003907041,CENTRAL J H,REGION 07: KILGORE,ANGELINA,Middle School,05 - 08,No,No,440,0.618,0.052,C,72,C,74,C,75,D,65,C,75,D,65,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003907,CENTRAL ISD,003907102,CENTRAL EL,REGION 07: KILGORE,ANGELINA,Elementary,EE - 04,No,No,632,0.68,0.074,C,75,C,74,C,78,D,66,C,78,D,68,,,Not Earned,Not Earned,,,Not Earned,Not Earned,Not Earned,17,17,9,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
004901,ARANSAS COUNTY ISD,,,REGION 02: CORPUS CHRISTI,ARANSAS,District,,No,No,3043,0.689,0.057,C,76,C,74,C,77,C,76,C,77,C,75,,,,,,,,,Not Earned,,,,,,,
